电影名称,评论者,评分等级,评论日期,点赞数,评论内容
盗梦空间,D5,还行, 2010-09-05 10:57:42 ,195,这片子我不打分，这片子把观众的潜意识里面的装B形象勾引出来然后展现的淋漓尽致 
盗梦空间,木卫二,力荐, 2010-08-23 00:37:42 ,453,窗口上，玛丽昂对莱昂纳多说，我跳！你也跳！结尾和片中的一些配乐，演唱者就是皮亚芙……
盗梦空间,婷婷爱八卦,推荐, 2017-12-22 09:00:44 ,161,好烧脑的电影，看了两次才看明白，好吧自己笨了点。佩服编剧导演了
盗梦空间,欢乐分裂,推荐, 2010-09-05 00:22:02 ,44,"时隔十年大银幕重温，仍被imax的音效震住。回头再看，当然不必再觉烧脑，但这种对梦境/现实多维度多线索地合拢叙事，俨然已成某种可用来借鉴的模式——即使影片本身也印有致敬痕迹。

以博尔赫斯的圆形废墟时间交叉概念先行——“时间永远分叉，通向无数的将来。在大部分时间里，我们并不存在；在某些时间，有你而没有我；在另一些时间，有我而没有你；再有一些时间，你我都存在。”强劲的想象产生现实（以致于无法区分意识边界的极限），梦是通往/影响/改变现实的途径；用记忆编织的梦境是危险的，因为就连记忆本身亦充满主观的谬误与篡改。人类最痛苦的根源聚焦浓缩于片中两个心结——夫妻之间与父子之间，也是打造四重梦境的立足点；无论科技多么进步，情感永远是我们无法绕开或解决的难题。

以及结尾——当然仍处于某层梦里啊。"
盗梦空间,榛生,很差, 2010-09-02 01:16:25 ,54,为什么我就觉得不好看，一点点阿凡达，一点点禁闭岛，一点点这个一点点那个拼在一起，水果硬糖出来演科技女，来昂纳多成了精分专业户，可以的，你们可以再拍盗梦二，盗梦三，但是怎么来说都跟一个幻想狂的中学生写的作文似的，那叫一个牵强。
盗梦空间,不爱™,力荐, 2010-07-19 07:56:59 ,521,本片可用于测智商
盗梦空间,私享史,力荐, 2010-09-02 00:59:31 ,370,【上海博纳银兴】【UME双安】心理学导论观摩教学片，植入了以下心理学概念：平衡觉、视错觉、记忆、梦境、认知空间、潜意识、防御、情绪、动机、强化、心理咨询。上个月在后海边，同学突然问：“怎么证明现实是真实存在的？”我答：“证明不了。”——这就是本片的缘起，它在试图证明。
盗梦空间,文泽尔,推荐, 2011-01-17 11:56:10 ,38,故事的架构本身实际上仍旧是在类型片的领域内厮混 如此多的大制作动作部分也决定片子本身是走票房路线 不过谁规定走这一路线就不能有深意呢 即使亡妻情 梦中梦的设定都不算新鲜 但诺兰对节奏和视觉效果的把握却值得称道 宏大场景和开放结局 以及令人印象深刻的大量走道场景 可说是类型片巅峰作
盗梦空间,sasasasa,还行, 2010-08-02 14:30:32 ,125,HK iSquare。再过个10年的样子，应该就和The Shawshank Redemption一样，变成一部经典的鸡肋片。素质不低，但剪辑太碎，节奏也太仓促，结构的扭转还是掩盖不了一个弱剧本。另外实在对那些视诺兰如神明的文青对怀疑者的五毛式口气感到不解....
盗梦空间,司大龄,力荐, 2010-07-18 00:37:05 ,436,……开放式结局……看到最后全影院一起喊：come on！
盗梦空间,美好时光只为你,推荐, 2017-05-28 20:32:34 ,28,虽然感觉挺烧脑的，但不可否认，也很精彩啊，很不错。
盗梦空间,momo,力荐, 2022-10-17 21:41:32 ,302,除了影片自身的魅力，片中斋藤身为甲方如此努力让我吃惊😭😭    他爹的我怎么碰不到这种甲方
盗梦空间,同志亦凡人中文站,力荐, 2010-09-01 22:06:45 ,300,炸飞！！！！！！神作！！！！！！！！
盗梦空间,ParasItE,力荐, 2010-07-18 07:54:17 ,334,MLGB诺兰你熊的！这TMD就是我想要拍的电影！！！
盗梦空间,Hey Johnny,力荐, 2010-09-01 20:41:38 ,338,我就是觉得NB，用那个最容易驳倒的辩词“有种你们也拍一个我看看！”
盗梦空间,塔卡纳马塔塔,还行, 2010-09-02 20:52:42 ,138,nolan的片一定要有痴情男死老婆么。。我觉得这片真的一般，部分情节拖沓，nolan的片总是看似很高科技，等琢磨清楚了觉得bug也挺多。小李为什么发育成了这样。
盗梦空间,亵渎电影,力荐, 2010-07-20 15:39:11 ,142,这个间谍故事在动作指导方面趋向007邦德系列，其中不少桥段都是导演诺兰在向自己最爱的邦德电影【女王密使】致敬，在我看来【奠基】更像是一部科幻版的 007电影。 ★★★★★
盗梦空间,安东,力荐, 2010-09-08 11:14:40 ,109,电影啊，造梦艺术，一部电影能拍成这样，至少在娱乐功能上已经登峰造极了，两个半小时黑漆漆的电影院里，我一直在梦里，跟我生活的现实世界完全无关。诺兰，我继续做你的粉丝。
盗梦空间,いっぱい脸红红,力荐, 2010-07-17 03:12:32 ,71,豪华版memento
盗梦空间,琴酒,推荐, 2010-09-02 22:31:07 ,22,徘徊在四星和五星之间，主要是剧本设计太强大了竟然很合逻辑。而且能把人看恍惚——不是那种恨高级的恍惚，就是神经刺激过猛无实感。
盗梦空间,▲,力荐, 2010-09-02 01:26:45 ,145,"You're waiting for a train, a train that will take you far away. You know where you hope this train will take you, but you can't be sure. But it doesn't matter - because we'll be together."
盗梦空间,杨迪,力荐, 2010-09-24 02:36:18 ,90,"第一次看还是选择中文版好一些。20171005终于想起来二刷，为当面的自己汗颜。明明自己电影院睡着了，只能留下那种模棱两可的评价，这次转为5星好评。"
盗梦空间,西楼尘,力荐, 2013-08-21 22:27:33 ,98,烧脑的诺兰，一贯的大师。三生有幸生活在诺兰的时代，并有幸在电影院一睹风采。配乐大师也是功劳显著，诺兰惯常的闪剪直接让观者感受到高潮一般的快感，内心激荡而震撼，绝望而嘶吼。
盗梦空间,Q。,力荐, 2010-09-09 00:09:41 ,64,还是习惯叫它《奠基》。赞美的话太多人说了，不再重复。克里斯托弗·诺兰再一次证明了自己驾驭非线性叙事电影的超凡能力。虽不敢说自己百分百看懂，但是绝对没有大多数人传说的那么难懂，不过肯定是一部会需要你动脑子的影片。至于结局……仁者见仁智者见智，一千个观影者就有一千个哈姆雷特★★★★★
盗梦空间,大奇特(Grinch),还行, 2010-09-01 23:47:57 ,75,创意很棒，就知道这是个大套套小套的故事，和诺兰早期那个短片《Doodlebug》一样。抛开创意，其实本质很简单，就是《Doodlebug》的2010升级版，加入了《骗中骗》《穆赫兰道》《禁闭岛》等修改补丁。不过如果是“老婆回到真实世界，小李自始至终还在梦中？”的话我就喜欢这片子了
盗梦空间,徐若风,力荐, 2012-12-16 09:52:36 ,66,锦瑟无端五十弦，一弦一柱思华年。庄生晓梦迷蝴蝶，望帝春心托杜鹃。沧海月明珠有泪，蓝田日暖玉生烟。此情可待成追忆？只是当时已惘然。 /2020重看 感觉有点呆板，和小时候看的感受完全不同😑
盗梦空间,炫3D,推荐, 2017-04-14 16:43:43 ,23,卡梅隆突破了，有了创新，名导就是名导，制作精良。
盗梦空间,Virgohi21,推荐, 2010-07-22 03:25:57 ,32,这故事对我有致命吸引力。好看死了。虽然觉得有点急躁可以做得更好，并且本应可以再往人物和故事的深度发掘。
盗梦空间,乌鸦火堂,力荐, 2010-09-01 23:03:38 ,49,精彩，诺兰引领一个时代，给我一个不打五星的理由
盗梦空间,江绪林,还行, 2011-10-06 16:54:28 ,63,豆瓣上评分那么高的片子，分几次看完还看得如此索然无味。。。。。。
盗梦空间,Ocap,力荐, 2014-04-20 13:51:03 ,41,启蒙我的电影重作之一。意义非凡，对我的影响远非本身质量可以抗衡。→20.8.30 大银幕N刷。
盗梦空间,麦子,2010-09-17 02:56:53, 2010-09-17 02:56:53 ,49,14/09/2010 想这么一起黏在电影院的座位上变老。
盗梦空间,狸猫荞麦,还行, 2022-07-17 18:00:40 ,35,诺兰答卷子能有94分是因为他能力就到这里，今敏能有100分是因为满分只有100。诺兰有个点子，像一个公式一样，然后后续剧情就是围绕这个公式代入导出，他拍出来的电影就算想跟你讲一下这个人物之间感情有多特殊有多深，也都是很公式化的…
盗梦空间,闫妮,推荐, 2015-02-01 14:22:37 ,15,诺兰就是想象力的代名词吧。后知后觉发现里面有马良
盗梦空间,眠去,力荐, 2010-09-02 23:33:42 ,102,“新概念、新想法、新观点是一部好电影所赋予的比票根寿命还长的纪念品。”究竟是庄周做梦变成了蝴蝶，还是蝴蝶做梦变成了庄周，又有谁知道！最后陀螺有没有倒下，对我已经没有什么差别了 
盗梦空间,接十分钟的吻,力荐, 2018-01-20 03:26:26 ,145,在梦中打造自己的世界，其实也是挺恐怖的
盗梦空间,石头星,力荐, 2017-02-19 11:46:00 ,42,烧脑片的内涵不是故弄玄虚让人云里雾里，要烧脑要符合逻辑要剪辑清晰要有故事完整性要有适当人性探讨，诺兰这部影片是典范，加上小李子简直完美。
盗梦空间,太阳的倒影,很差, 2010-11-01 19:24:19 ,36,这电影难看吗？正好相反，它极具观赏性，但这种创作态度，就是不对。如果诺兰真如他本人所说没看过红辣椒，那么只有两种可能性，1，分镜创意是别人提供的，他只负责审核，分镜人员抄了红辣椒；2，整个电影的创意是好莱坞剧本池里一个不知名编剧写的，而那个编剧抄了红辣椒。
盗梦空间,卢十四,力荐, 2010-09-02 23:07:36 ,100,一定要耐心看完字幕。我承认最后那几秒镜头我完全没想到……
盗梦空间,大志的小耳朵,推荐, 2016-12-29 20:28:53 ,18,太烧脑了，没完全看懂，这类电影可以看好几遍因为一遍不能看懂。。。。。。。。。。。。。
盗梦空间,Nikitaa,力荐, 2010-09-02 08:04:07 ,98,国外电影结构剧情技术意识都如此了，让国产电影情何以堪。。。
盗梦空间,司墨,力荐, 2022-01-30 08:09:48 ,55,记得上次看还是高中老师在教室里放，一晃眼已经十多年过去了。好希望我能醒来，发现这不过只是高中课间十分钟时间我打的一个小盹。
盗梦空间,荔枝超人,力荐, 2010-08-31 14:01:34 ,62,"You mustn't be afraid to dream a little bigger, darling."
盗梦空间,齐木楠雄,力荐, 2015-07-23 21:22:45 ,26,最喜欢的电影，满分
盗梦空间,恶魔的步调,力荐, 2010-09-04 23:26:22 ,23,山中千年，世间一日。一个意识结构层面的故事。100921 2nd。200828，突然意识到，这也是消失的爱人。
盗梦空间,巴塞电影,力荐, 2016-11-16 15:55:02 ,27,完美的烧脑大片，梦境空间层层递进，逻辑情节环环相扣，似海深情飘荡在梦境空间里，是迷失还是放逐……
盗梦空间,王大盆,还行, 2016-02-01 22:26:06 ,30,可不可以老搞开放性结局啊？让陀螺倒下很难吗？？
盗梦空间,琧婯,还行, 2010-11-15 20:48:14 ,31,诺兰变魔术上瘾了哇，用梦包了蹩脚的好莱坞杂碎糊弄观众，又是苦男死女执念的爱情戏 罗嗦的东西太多可以砍掉一个小时 重点放在小萝莉身上就好了 ，最关键的这片子有邪教向现实虚幻鼓励自杀。。。我就做过梦中梦 我在梦里梦见我的梦醒了 
盗梦空间,掉线,力荐, 2011-07-31 10:54:54 ,20,【A+】20170825心血来潮为分析剧本重看，深深佩服诺兰在构筑悬疑张力上的功力
盗梦空间,嘟嘟熊之父,推荐, 2020-08-30 17:44:02 ,19,在冷漠的时间刻度与等价的时间交换面前，我们唯有放弃对时间的真实感受，才能够减缓痛苦、延长快乐。始终觉得诺兰的电影是反立意深度、反人物塑造、甚至反戏剧逻辑的，他更加看重的是原始的情感动力与极致的视觉轰炸对观众感官的欺骗与麻醉。换言之，情绪上克制的表达、叙事上细节的思考与动作戏清晰的调度并不有助于高概念的成功洗脑。可以类比为乘坐海盗船，说白了不就是像钟摆一样左右摆动嘛，但真的坐上去了，整船人还是会忍不住发出鸡叫。
盗梦空间,Kazuha,推荐, 2017-03-26 20:08:27 ,14,梦中梦，超级酷的，想起清明梦，我尝试过清明梦，可总是在意识到自己在做梦时就立马醒了哈哈哈哈，表白小李子~
盗梦空间,yum,还行, 2010-07-19 23:39:33 ,43,立片基础是sci-fi梦的控制，所以如果要是认真的逻辑探讨你就输了。高射炮打蚊子的剧情设计，故弄玄虚的各条线，强大的CG，神来一笔的配乐，众多让人一见倾心的大配小配。最后40分钟拖沓无比，全片需要全神贯注。btw男主你还要继续减肥，卡在小巷内一段我差点不厚道的笑噎过去
盗梦空间,米粒,力荐, 2010-08-12 00:10:25 ,18,终于在HK的IMAX如愿以偿了……真的非常非常精彩，剧情、特效，演员的表演，以及诺兰的哲学，都是很大的亮点！
盗梦空间,苏幼,推荐, 2017-02-20 08:42:54 ,37,这部电影真心不错。反物理学的探讨、旋转的动作场面、具有冲击力的背影音乐等，在影片的后半段，这些因素合力将你催眠，将你带入诺兰设定的电影梦境之中。
盗梦空间,我lu不会飞,力荐, 2017-02-16 20:47:35 ,18,一环接一环，很烧脑，有意思。
盗梦空间,死鬼,力荐, 2018-03-16 23:38:04 ,41,"一颗小小的意念种子 也会生根成形 它可能成就你 也可能毁灭你
那么 你是想放手一搏 还是要等到年华老去 心中充满遗憾 孤独地迈向黄泉路？"
盗梦空间,火娃,还行, 2021-03-26 00:05:12 ,24,7/10。重温之下发觉诺兰是个十分循规蹈矩的匠人，它前面一个小时喋喋不休地讲清楚行动原则，还为了观众能够跟上穿越的节奏，用重复到啰嗦的蒙太奇去表现延时状态对各层梦境的影响，如旋转电梯的打斗吻合上一层雨中飞驰的汽车、海边楼房的倒塌隐喻柯布梦醒，然而除去开头齐藤回忆他与柯布最初见面的情景，给叙事制造了点小混乱外，不论诺兰如何把世界变得像一座颠来覆去的迷宫，对于围绕计划的人物行动、精神变化都是线性封闭的，并通过仓库绑架逼供、攻击雪地守卫等多层空间的动作戏来分散观众注意力，去敷衍掉逻辑的疏失（最让人疑惑的是无法坠落的老年齐藤和柯布最后如何从迷失域醒来）。所谓的心理学，充其量就是战胜自我、走出阴影的陈词滥调，当孩子转头，柯布对亡妻的内疚、混淆梦与真实的恐惧就已消除，情绪完整释放，再弄一个陀螺点题纯属多余。
盗梦空间,shininglove,力荐, 2010-09-11 22:18:50 ,30,阿姆斯特朗说：《盗梦空间》的一小步，是电影史上的一大步。
盗梦空间,请保持高冷,力荐, 2016-09-04 15:16:14 ,17,看过以后曾经有一段时间经常怀疑自己在做梦
盗梦空间,慕詩,力荐, 2017-03-17 17:01:22 ,14,特效、脑洞真的让人瞠目结舌，太高级了，晕眩
盗梦空间,X,力荐, 2017-03-31 16:34:51 ,15,一花一世界，一个陀螺引发的颠覆世界观
盗梦空间,隔岸观船,力荐, 2016-12-30 10:46:52 ,19,要论脑洞 我最服的就是这一部了 经典之作 诺兰真不是一般人可超越！
盗梦空间,武志红,推荐, 2011-02-19 21:46:53 ,27,"悬念很多，但其实道理很一般，并无深度。
不过有朋友说，真的可以这样去改变别人的潜意识，这就给这个片子增分了。"
盗梦空间,狗富贵,力荐, 2017-05-03 13:42:19 ,11,牛！不停换景那里晕眩啊，陀螺转转转～
盗梦空间,武志红,推荐, 2011-02-19 21:46:53 ,27,"悬念很多，但其实道理很一般，并无深度。
不过有朋友说，真的可以这样去改变别人的潜意识，这就给这个片子增分了。"
盗梦空间,小痕呀,推荐, 2017-04-03 19:47:20 ,12,超精彩的电影，无论是故事的叙事技巧，拍摄手法，还是视觉感官体验都好棒！很吸引人的题材，让人眼前一亮。
盗梦空间,明月入我怀,推荐, 2022-10-01 08:41:39 ,25,没有那么烧脑……这个top9的位置多少有点夸张了……
盗梦空间,杨大志°,推荐, 2016-12-29 09:24:55 ,12,太久远记不太清剧情了，不过确实很有意思。经常幻想如果我现在所经历的一切都是梦境怎么办哈哈哈哈
盗梦空间,晚不安,力荐, 2020-08-31 16:34:21 ,14,作为诺兰神话的最高点，显然还是经得住重看的，最方便的检验方式，就是意识深处那个旋转不停的陀螺。诺兰所有最受推崇的作品，无一不是在建设精密的结构，实践操纵时间的叙事法，但它的复杂程度（四层递归，逐层回退）绝不超出观众的理解能力。而这种由形式构筑起的紧张感，在持续补足他所不那么擅长的情感描绘与动作场面。十年后，在现实与梦境的辩证法之外，我才经由小李子紧锁的眉头，真正注意到这个“长相厮守”的爱情困境，是它驱动着电影最核心的危机。——并不是恐婚心理在作怪，而是追求永恒的美好愿望让人们滑向深渊。
盗梦空间,顾俏乜,推荐, 2017-07-14 21:26:23 ,14,构思很赞，脑洞这么大，黑洞都要抖一抖。
盗梦空间,爱情海,推荐, 2017-03-26 10:48:43 ,15,梦境与现实，亦真亦幻，用异想天开的想象力考验着我们的判断能力。
盗梦空间,左胸上的吸盘,还行, 2010-09-13 12:04:21 ,24,跟莉莉在南京看的，很好懂啊，有什么可分析的
盗梦空间,幸运遇见你,还行, 2017-03-01 13:31:15 ,21,看到最后感觉自己都出现幻觉了
盗梦空间,竹叶卷心,力荐, 2016-08-24 21:59:41 ,12,太值五星了，我看第二遍才懂开头，情节，画面，人物，剧情，无可挑剔，唯一可惜的是人物塑造上有点不够。
盗梦空间,然悔悟,推荐, 2017-04-14 23:01:49 ,13,那个梦中有梦真的是令人诧异。电影好看又烧脑
盗梦空间,元宝宝,力荐, 2017-03-01 11:58:25 ,14,观影全程紧跟剧情，既使这样看到结局，我都没看明白是在梦境中还是在现实中。烧脑呀，真是烧脑。
盗梦空间,薄荷,力荐, 2017-02-16 13:19:39 ,16,很精彩很烧脑！酷！！！
盗梦空间,Littlefish✨,力荐, 2021-06-14 15:23:38 ,67,潜意识层层武装保护的也许只是儿时的风车，能够治愈内心的只有自己
盗梦空间,潇湘烟雨,力荐, 2017-12-24 16:38:17 ,24,没什么看不懂的
盗梦空间,内陆飞鱼,力荐, 2010-09-05 07:55:35 ,8,故事和概念很牛，逻辑关系也很严谨。虽然场面不够大片。
盗梦空间,甲鸟,还行, 2021-11-06 14:27:20 ,17,真的对诺兰不感冒，总是能把有创意的点子拍俗套搞成大杂烩，人物塑造又扁平动作戏爱情戏都是短板。打乱的叙事结构和同类型前作比更算不上加分点，作为科幻世界观也很没新意，看来看去居然觉得诺兰最好的还是处女作。
盗梦空间,苏比,力荐, 2010-09-01 09:53:51 ,17,在裆国看到一刀不剪的大荧幕盗梦空间，你还要什么自行车啊，还不跪谢郭嘉。
盗梦空间,托尼·王大拿,力荐, 2010-09-11 02:58:19 ,12,纵向叙事的一次伟大实验
盗梦空间,庄小龙也有尾巴,推荐, 2017-03-20 10:05:21 ,13,层层叠叠的梦境让人分不清现实与梦幻，看完让我甚至开始怀疑自己到底是处于现实还是仍旧在做梦。实在是太烧脑了！！！
盗梦空间,九尾黑猫,还行, 2010-09-03 18:10:30 ,25,依旧对诺兰不感冒，没有什么新鲜的，关键是没有观点，爱情重要？梦境重要？真实重要？看不到清晰的观点，结果便不那么重要，于是到底是真是假也失去了意义。
盗梦空间,顾盼,力荐, 2018-03-25 00:40:41 ,16,人在梦境里会放下所有的心防。
盗梦空间,[己注销],力荐, 2014-02-08 01:45:59 ,19,（9/10）确实是个挺精彩的故事，感觉作品是在借鉴今敏的《盗梦侦探（红辣椒）》（有点想重看今敏这片了）。从最后陀螺减速并摇晃、孩子露出正脸、造梦者（岳父）回归、主角手上没有戴戒指、齐藤醒过来等细节来看，主角应该是回到了现实中，而不是掉进了下一层梦里。
盗梦空间,卡比巴拉的海,还行, 2017-04-10 20:19:32 ,14,看不懂
盗梦空间,LORENZO 洛伦佐,力荐, 2010-07-22 10:53:15 ,16,"惊叹于诺兰缜密的逻辑.奇谲的拍摄手法和大胆的情节架构.跟着导演对梦境抽丝剥茧层层剖析,一个关于“梦的解析”关于“爱的延续”的伟大构想拔地而起,成就一座堂皇的迷宫让观众目眩神迷"
盗梦空间,思阳,还行, 2010-11-09 04:37:39 ,13,庄周梦蝶而已，之上只有好莱坞，不如期望。说来Nolan不知道是不是中国哲学的爱好者，他的精湛短片doodlebug虽然只有三分钟，但比这片子的哲理丰富多了。
盗梦空间,LEMON酱,力荐, 2016-08-24 10:53:28 ,10,很好
盗梦空间,新桥妖妖,推荐, 2017-04-10 15:03:28 ,12,特效很好，剧情满分，还有莱昂纳多的颜……
盗梦空间,木鱼水心,推荐, 2010-09-09 12:07:45 ,22,影院效果有加分。
盗梦空间,莫林庸,力荐, 2020-11-01 23:40:31 ,21,"for(;;){
     for(;;){
          for(;;){
          }
     }
}"
盗梦空间,momo,力荐, 2016-10-31 12:50:06 ,21,诺兰的电影逻辑性特别强，特别好看，演员选的也好
盗梦空间,Leon Winters W,力荐, 2015-10-20 09:38:16 ,15,只可惜当年年纪小，没有看懂，现在后悔没有去电影院看。Inception就好象是玄幻小说，你必须接受它里面的无数天马行空的设定；但是它是最好的玄幻小说，因为在它的设定下情节无懈可击。所以首先要解释片中提到的所有设定
盗梦空间,梦梦梦梦,力荐, 2017-04-12 23:38:28 ,14,就喜欢看这种看一遍看不懂的电影，还有演员都好帅……
盗梦空间,你爹语重心长,力荐, 2017-03-18 21:49:30 ,10,感觉需要多看几遍才能看懂。
盗梦空间,饿霸地煮,力荐, 2020-08-30 14:51:37 ,11,诺兰无法提供新的思想或者人性的发现，他的电影基本上是把新瓶装旧酒玩到极致。
盗梦空间,师诗尸,力荐, 2010-09-01 03:19:03 ,12,第一部去IMAX二刷的电影，很烧脑，超好看
